4.813 3.892 15.295 14.966 -2.629 10.321
6.281 1.710 15.081 11.820 -5.391 9.507
5.923 4.602 14.809 8.604 -2.694 9.480
6.635 1.625 15.225 8.220 0.549 12.396
6.741 1.296 15.062 10.363 0.610 11.925
4.617 -3.094 15.164 14.663 -2.095 11.083
3.293 1.166 15.433 14.800 -5.436 11.134
5.852 -1.839 15.559 5.008 -6.288 8.690
5.567 3.819 15.805 16.935 -4.986 9.740
6.754 4.233 14.494 15.104 -2.367 9.053
5.653 2.138 14.360 11.069 -3.222 11.082
5.913 2.005 15.127 10.324 -0.528 11.514
7.245 2.376 15.079 15.256 -4.445 9.868
5.210 4.944 16.361 13.162 2.551 10.490
5.739 0.450 13.834 9.004 -2.869 10.494
6.348 5.759 14.284 13.493 -1.066 8.514
7.880 2.855 14.980 10.281 -2.025 7.166
6.892 2.507 14.945 9.632 -7.830 11.226
5.497 1.241 14.355 5.639 -2.057 10.162
6.227 -1.814 15.193 12.319 -2.943 10.483
6.885 2.953 15.091 9.183 -3.679 9.370
6.071 6.110 15.829 15.292 -4.152 9.775
6.238 6.984 15.981 14.393 -1.216 10.963
2.994 3.607 15.846 14.391 -5.733 7.873
6.328 3.103 13.955 14.160 -2.480 8.564
6.107 0.250 15.736 12.052 -2.000 9.321
5.170 1.831 14.555 10.737 -3.375 11.818
6.222 0.243 15.161 11.285 -3.414 12.591
5.845 5.614 15.736 11.140 -4.016 6.347
6.133 1.984 14.757 6.874 -3.049 10.328
5.092 0.634 15.169 9.039 -4.662 8.926
5.000 2.694 15.386 10.803 -3.614 10.798
5.645 -0.259 14.934 16.132 -0.592 14.120
5.675 -1.008 15.763 16.068 -0.651 10.829
5.396 1.662 15.330 11.771 -4.212 10.586
5.480 1.658 14.868 17.119 -4.584 9.818
6.069 0.888 14.996 14.605 -3.706 12.373
6.254 -0.173 13.658 15.680 -5.056 9.421
3.196 0.078 14.284 13.046 -2.310 11.217
6.906 4.219 14.961 14.379 -4.346 9.377
6.339 0.382 15.095 9.711 -2.491 11.458
6.696 -0.282 15.064 16.752 -4.449 11.977
5.914 0.432 14.750 14.427 -0.753 11.490
6.348 4.426 16.161 14.455 -1.073 11.807
6.172 0.999 14.576 11.257 -4.827 8.077
6.458 -0.812 14.402 17.000 -2.307 8.650
7.654 2.488 14.496 14.774 -1.650 9.340
5.780 1.616 14.794 11.982 -0.334 9.325
4.857 0.274 15.364 13.024 -1.988 9.672
4.838 2.587 14.026 8.356 -5.813 9.735
7.618 2.000 15.385 15.029 -1.227 9.479
5.217 3.394 15.007 14.986 -1.963 11.239
4.285 0.146 15.067 16.114 -4.883 7.689
9.113 2.448 15.731 10.235 -1.569 9.379
5.933 2.062 13.844 12.059 -2.922 10.298
